stop_id, stop_code, stop_name, stop_desc, stop_lon, stop_lat, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
"866", "2036", "Av  Santo Antônio", "Em frente ao n° 1321 e a Servidão Leopoldino Francisco de Miranda.", "-20.3138042401762", "-40.3576841211166", , , 0, , ,
"870", "2037", "Av  Santo Antônio", "Defronte a farmácia Rabaioli, n° 980.", "-20.315870724419", "-40.3561946351369", , , 0, , ,
"854", "2038", "Av  Santo Antônio", "Em frente a Assembléia de Deus n° 1060.", "-20.315297364418", "-40.3561547602321", , , 0, , ,
"853", "2039", "Av  Santo Antônio", "Em frente ao nº 725", "-20.3172059457479", "-40.3567532343544", , , 0, , ,
"867", "2040", "Av  Santo Antônio", "Defronte ao n° 780", "-20.3176517333703", "-40.3565213419206", , , 0, , ,
"287", "2041", "Av  Santo Antônio", "Em frente ao nº 790", "-20.3181506710761", "-40.3551646017625", , , 0, , ,
"873", "2042", "Av  Santo Antônio", "Defronte ao n° 790.", "-20.3180771727247", "-40.3552034959971", , , 0, , ,
"3", "2043", "Tv  Waldir Junger Pereira", "Em frente ao n° 17, Auto Serviço Big Show.", "-20.3059712344298", "-40.3485493282734", , , 0, , ,
"95", "2044", "Rua Dom Fernando", "Em frente ao CRAS - Centro de Referência de Assitência Social", "-20.3136930590061", "-40.3553627237356", , , 0, , ,
"96", "2045", "Rua Gabriel Elias Tacla", "Em frente a residência n°150.", "-20.311685470321", "-40.3531791548712", , , 0, , ,
"97", "2046", "Rua Lauro Pereira Coimbra", "Em frente a residêcnia n°25", "-20.310698798059", "-40.3526583625757", , , 0, , ,
"284", "2047", "Rua Nicanor Alves Dos Santos", "Em frente ao Estadio do Alagoano", "-20.3163976425652", "-40.354210955386", , , 0, , ,
"871", "2048", "Av  Nair Azevedo Silva", "Em frente ao Shopping Vitória", "-20.3196102513293", "-40.3521074543138", , , 0, , ,
"858", "2049", "Av  Dário Lourenço De Souza", "Ao lado do Hotel Príncipe.", "-20.3195558032998", "-40.3533871662489", , , 0, , ,
"876", "2050", "Av  Dário Lourenço De Souza", "Em frente a portaria do Tancredão", "-20.3197192609012", "-40.3551421648353", , , 0, , ,
"877", "2051", "Av  Dário Lourenço De Souza", "Em frente a Assembléia de Deus.", "-20.3194848320259", "-40.3553977973643", , , 0, , ,
"869", "2052", "Av  Dário Lourenço De Souza", "Ao lado da Clinica dos Acidentados.", "-20.3181605872251", "-40.3574740348528", , , 0, , ,
"868", "2053", "Av  Dário Lourenço De Souza", "Defronte ao n9", "-20.318104420349", "-40.3577219084837", , , 0, , ,
"274", "2054", "Rua Presidente Arthur Bernardes", "Entre as residências de n° 273 e 265", "-20.3120252013334", "-40.3525882061634", , , 0, , ,
"865", "2055", "Av  Dário Lourenço De Souza", "Saída da Escola Luíza P. Muniz Correa", "-20.3154838748004", "-40.3583453862277", , , 0, , ,
"864", "2056", "Av  Dário Lourenço De Souza", "Meio Sambódromo, defronte n°56", "-20.315259439085", "-40.3585178710042", , , 0, , ,
"860", "2057", "Av  Dário Lourenço De Souza", "Em frente a um Bar", "-20.3134090481617", "-40.3585241133056", , , 0, , ,
"874", "2058", "Av  Dário Lourenço De Souza", "No final do Sambódromo.", "-20.3138299902922", "-40.3587286799253", , , 0, , ,
"862", "2059", "Av  Dário Lourenço De Souza", "Na calçada defronte para o cais do Hidro-avião", "-20.312127214629", "-40.3583682420015", , , 0, , ,
"861", "2060", "Av  Dário Lourenço De Souza", "Ao lado do Cais do Hidro-avião", "-20.3122715027146", "-40.3585893730234", , , 0, , ,
"99", "2061", "Rua Dom Benedito", "Em frente a esquina nº 117", "-20.3120619651182", "-40.3575260222257", , , 0, , ,
"859", "2062", "Rua Dom Benedito", "Ao lado do nº 161", "-20.3122013307629", "-40.3574968505648", , , 0, , ,
"275", "2063", "Rua Ferreira Das Neves", "Em frente ao n°151", "-20.3136479243809", "-40.3544936346047", , , 0, , ,
"856", "2064", "Rua Arivaldo Favalessa", "Em frente a Escadaria José Carneiro Almeida", "-20.3145088342623", "-40.3555805936451", , , 0, , ,
"157", "2065", "Rua Vicente De Paula Pereira", "Esquina coma ruaVicente de Paula Ferreira", "-20.3095839147423", "-40.3497801801871", , , 0, , ,
"158", "2066", "Rua Frederico Ozanan", "Em frente a rua Vicente Paula Pereira", "-20.3096610623497", "-40.3496592550195", , , 0, , ,
"155", "2067", "Rua Frederico Ozanan", "Esquina coma rua da Constituinte.", "-20.3121346519738", "-40.3492132281229", , , 0, , ,
"156", "2068", "Rua Frederico Ozanan", "Esquina coma rua da Constituinte.", "-20.3119888628064", "-40.3491593691875", , , 0, , ,
"153", "2069", "Rua Ariosto Da Silva Santos", "Defornte pra a residência n°104", "-20.3132577296855", "-40.3495161655253", , , 0, , ,
"152", "2070", "Rua Professor Heráclito Pereira", "Em frente a residência nº 267", "-20.3128917279571", "-40.3507530066862", , , 0, , ,
"150", "2071", "Rua Professor Heráclito Pereira", "Em frente a Mercearia Katimar", "-20.3147791399619", "-40.3518025320344", , , 0, , ,
"282", "2072", "Rua Sotero Santana", "Em frente a Mercearia Katimar", "-20.314960401027", "-40.3519120188431", , , 0, , ,
"151", "2073", "Rua Guilherme Meyer", "Em frente da Escola Municipal Mauro Braga", "-20.3144184355479", "-40.3507364320261", , , 0, , ,
"652", "2074", "Rua São João", "Em frente a residência n° 739", "-20.3157251257058", "-40.3493634854765", , , 0, , ,
"651", "2075", "Rua São João", "Defornte n°630", "-20.3163045176218", "-40.3491769301684", , , 0, , ,
"654", "2076", "Rua Constantino Furlane", "Esquina com a rua José R. de Oliveira", "-20.3173689183761", "-40.3499675700121", , , 0, , ,
